District,2006 to 2007 in Metric Ton,2007 to 2008 in Metric Ton,2008 to 2009 in Metric Ton,2009 to 2010 in Metric Ton,2010 to 2011 in Metric Ton,2011 to 2012 in Metric Ton,2012 to 2013 in Metric Ton
Jabalpur,3695,5240,5966,4573,5717,5117,8781
Katni,2141,2206,3573,2544,3123,2400,6353
Balaghat,4507,5713,5613,5047,6587,5360,9945
Chindwara,158203,216648,190062,233125,279101,516395,483900
Seoni,12824,14299,12832,12726,15086,15910,46976
Mandala,16072,20353,20847,18124,22822,15432,21371
Narshinghpur,773,919,967,805,945,759,2504
Sagar,3299,3784,3760,4322,4217,4655,6109
Damoh,2225,2423,3800,3630,3534,3090,4679
Panna,894,1154,2053,1275,2382,2037,3864
Tikamgarh,1151,2080,2878,1788,2062,1565,1822
Chhatarpur,309,430,520,462,480,329,305
Rewa,634,712,826,665,837,434,922
Sidhi,27881,34402,10404,8500,9543,6581,11706
Singrouli,0,0,29943,26847,30611,23105,58699
Satna,375,513,538,506,604,460,1232
Shahdol,7689,9841,10577,6430,11218,7207,18383
Anuppur,7836,8889,9865,7086,8465,10080,15990
Umaria,4487,5805,6239,5403,8278,4431,13044
Dindori,11360,16426,16896,16263,21410,11652,43159
Bhopal,2474,3508,3280,2774,3800,3831,5845
Sehore,40112,18945,16326,13304,27839,9175,20545
Raisen,3896,4119,4431,4582,5145,4046,5464
Vidisha,5804,7119,6360,5908,6826,4522,7981
Rajgarh,23691,55667,59890,45131,64358,45674,125032
Indore,7480,10394,10504,5843,11676,5036,8766
Dhar,50825,71447,75809,56033,86899,55260,130677
Jhabua,67043,124958,84572,69651,76417,54624,132224
Alirajpur,0,0,45428,34443,43669,31776,76316
Khargone,19935,26310,21347,19781,31233,27096,85260
Barwani,24415,34789,35119,29881,44792,49728,244209
Khandwa,9793,12633,11523,8213,13960,8309,23967
Burhanpur,4542,6112,7692,7510,11165,11528,31614
Ujjain,10300,10403,8329,6855,6918,5997,15507
Mandsour,36786,50448,52130,43402,50743,39213,75277
Neemuch,27311,39835,48721,39751,56782,41271,103893
Ratlam,93179,104630,107634,88883,115686,108280,178963
Dewas,12161,16756,14566,11587,13948,14833,23563
Shajapur,27214,33053,36014,32365,58917,22235,66109
Morena,20,3,1,2,1,21,8
Sheopur,253,1138,736,667,854,829,1517
Bhind,0,2,2,1,50,0,0
Gwalior,346,148,287,210,286,212,127
Shivpuri,29734,25845,43073,36346,45305,29714,29128
Guna,19075,22265,23395,22719,27898,23213,29837
Ashoknagar,8508,11188,10200,8812,9787,8225,14966
Betul,1036,754,2644,2443,2078,1140,2612
Betul,50583,63540,59766,59027,75842,72174,175854
Hoshangabad,1649,1886,1793,1465,1746,1341,3948
Harda,1482,1484,2051,1110,563,333,1735
Total,846002,1111216,1131782,1018820,1332205,1316635,2380688
,,,,,,,
